Abdul-Rauf, Sadaf
Hand-Bender, Tess
Han, Hyoil
Han, Lei
Hannan, Kerry
Han, Na-Rae
Hannin, Suzanne
Hansen, Dorte H.
Hansen-Schirra, Silvia
Hao, Yanfen
Harabagiu, Sanda M.
Harashima, Jun
Harbusch, Karin
Hardy, Hilda
Hargreaves, Katherine
Harman, Donna
Harper, Lisa
Harper, Mary
Harper, Mary P.
Harris, Mary Dee
Harrison, Shelly P.
Hartmann, Katharina
Hartmann, Silvana
Harwell, Sarah C.
Hashem, Lama
Hashimoto, Chikara
Hasimoto, Minako
Hasler, Eva
Hasler, Laura
Hastie, Helen
Hatada, Nobuko
Hatori, Jun
Hauenschild, Christa
Havasi, Catherine
Haverinen, Katri
Hawizy, Lezan
Hays, Ellen
Hearne, Mary
Hearst, Marti A.
Hedberg, Nancy
Heemskerk, Josee S.
Heeren, Willemijn
Heift, Trude
Hein, Cheryl
Heine, Julia E.
Heintz, Ilana
Heja, Eniko
Helfrich, Antje
He, Liang
Helman, Vera
Hemforth, Barbara
He, Nan
Hendrickx, Iris
Hendriks, Petra
Heng, Lijie
Henriksen, Lina
Henschel, Renate
Hensman, Svetlana
Herbelot, Aurelie
Hernaez, Inma
Hernert, Patrice
Hern�ez, Inmaculada
Herrmann, Teresa
Herskovits, Annette
Hervas, Raquel
Herviou, Marie Luce
Herzog, Martha
He, Tingting
Hetzler, Elizabeth
Hewavitharana, Sanjika
He, Wei
Hewitt, Jill
He, Yanxiang
Heyl, Andrea
Heylen, Kris
He, Yulan
Hiatt, Laura
Hickey, Marianne
Hielkema, Feikje
Higbie, Lynne
Hildebrand, Almut Silja
Hill, Catherine
Hiltz, Starr Roxanne
Hinkelman, Elizabeth A.
Hirschberg, Julia
Hirschberg, Julia B.
Hirschman, Lynette
Hirsh Litenatsky, Susan
Hirsh, Susan B.
Hite-Mitchell, Heather
Hitzeman, Janet
Hiyakumoto, Laurie
Hiyoshi, Mayumi
Hiz, Danuta
Hjalmarsson, Anna
Hladka, Barbora
Hlavackova, Dana
Hnatkova, Milena
Hoang, Hieu
Hoberman, Rose
Hochberg, Judith
Hockenmaier, Julia
Hockey, Beth Ann
Hodges, Julia
Hoemann, Shirley A.
Hoffman, Beryl
Hoffman, Sarah
Hofmann, Katja
Hogan, Deirdre
Hogenhout, Wide R.
Holden, Natsuko
Holland, Melissa
Hollingsed, Tasha
Hollingshead, Kristy
Hollink, Laura
Holloway King, Tracy
Holm, Jenny
Holmqvist, Maria
Hong, Jia-Fei
Hong, Tao
Hori, Chiori
Horiguchi, Keiko
Horikoshi, Mariko
Hornsby, Kathleen
Horsfall, Heather J.
Horton, Diane
Horvath, Veronika
Hosaka, Junko
Hoser, Iris
Hoshino, Ayako
Hoshino, Nami
Hoste, Veronique
Hotani, Chiyo
Hou, Min
Houston, Ann
Hou, Wen-Juan
Howes, Christine
Hristea, Florentina
hrs, Christine
Hsueh, Pei-Yun
Htay, Hla Hla
Huang, Fang-Lan
Huang, Jia
Huang, Jin
Huang, Jing
Huang, Jin-Xia
Huang, Jui Ting
Huang, Ruihong
Huang, Shu-Ling
Huang, Taiyi
Huang, Xiaorong
Huang, Yifen
Huang, Yun
Huang, Zezhen
Huettner, Alison K.
Hufnagel, S. Shattuck
Huhmarniemi, Saara
Hu, Jun
Huls, Carla
Hulth, Anette
Hummer, Christiane
Hundleby, Margaret
Hunicke-Smith, K.
Hunicke-Smith, Kate
Hunnicutt, M. Sharon
Hunsicker, Sabine
Hupp, Nancy
Hurault-Plantet, Martine
Hu, Rile
Husain, Samar
Husarciuc, Maria
Huttunen, Silja
Hu, Wei
Huwel, Sonja
Hu, Yi
Huynh-Quyet, Thang
Hu, Yu
Hu, Yuxuan
Hwang, Chung Hee
Hwang, Jena D.
Hwang, Mei-Yuh
Hwang, Young-Sook
Hwa, Rebecca
Ibekwe-SanJuan, Fidelia
Ichimura, Yumi
Ide, Nancy
Ide, Nancy M.
Ifrim, Georgiana
Ignat, Camelia
Iida, Masayo
Ilarraza, A. Diaz de
Im, Seohyun
In�cio, Susana
